963,744,286,32
963,775,286,32
1273,744,286,32
1273,775,286,32
1584,744,286,32
1584,775,286,32
1886,744,287,61
2201,748,138,27
2340,748,141,27
2198,777,120,27
2328,777,152,27
2916,744,282,35
2918,781,277,26
3427,753,282,54
815,1162,379,28
815,1191,379,28
815,1219,379,28
1326,1162,378,88
800,1388,928,371
811,2067,142,84
952,2067,142,84
1117,2067,286,90
1445,2068,61,83
1509,2068,61,83
1569,2068,61,83
1632,2068,61,83
813,2478,276,27
813,2507,130,53
945,2508,146,26
945,2535,146,28
1119,2476,283,85
1432,2476,137,27
1432,2505,134,27
1432,2534,127,27
1570,2476,123,26
1568,2506,126,26
1561,2535,145,26
817,3172,149,82
970,3172,149,82
1116,3172,149,82
1268,3172,149,82
1431,3172,149,82
1582,3171,149,82
815,3452,139,86
955,3452,139,86
1115,3452,139,86
1255,3452,147,86
1418,3452,139,86
1559,3449,143,88
807,3732,153,88
962,3732,153,88
1116,3732,161,90
1277,3732,140,88
1400,3732,153,88
1553,3732,153,88
808,4013,153,88
964,4013,153,88
1106,4013,153,88
1260,4013,153,88
1430,4013,153,88
1881,1115,816,77
1854,1314,888,240
1854,1659,888,240
1854,1940,888,240
1931,2370,290,77
2289,2370,223,76
2512,2370,223,76
1881,2622,397,64
2294,2622,397,64
1876,3039,381,87
2390,3039,381,87
2390,3324,381,87
1876,3324,381,87
1921,3555,95,95
2100,3555,95,95
2278,3555,95,95
2453,3555,95,95
2634,3555,95,95
1921,3774,95,95
2100,3774,95,95
2278,3774,95,95
2453,3774,95,95
2634,3774,95,95
1921,3990,95,95
2100,3990,95,95
2278,3990,95,95
2453,3990,95,95
2634,3990,95,95
1921,4208,95,95
2100,4208,95,95
2278,4208,95,95
2453,4208,95,95
2634,4208,95,95
1872,4453,908,94
2986,3158,711,197
2986,3425,711,197
2986,3685,711,365
2986,4211,711,365
2876,1134,177,28
2876,1164,177,28
2876,1193,177,28
3056,1193,177,28
3056,1164,177,28
3056,1134,177,28
3384,1129,180,34
3567,1129,180,34
3395,1164,180,27
3577,1164,180,27
3397,1194,346,25
2860,1543,274,28
3171,1543,274,28
3481,1543,274,28
3478,1574,284,28
3476,1603,284,28
3170,1583,277,45
2862,1583,277,45
2868,1826,131,27
3000,1826,131,27
2864,1855,131,27
2997,1855,140,27
2859,1883,140,27
3000,1883,140,27
3167,1826,283,27
3167,1854,283,27
3167,1883,283,27
3477,1883,283,27
3477,1855,283,27
3477,1825,117,27
3593,1825,168,27
2861,2106,270,26
2863,2135,270,26
2863,2164,121,26
2991,2164,145,26
3172,2104,282,27
3172,2135,132,27
3308,2135,141,27
3172,2165,282,27
3486,2104,268,88
2858,2734,285,27
2858,2763,285,27
2858,2792,907,27
3167,2734,285,27
3167,2763,285,27
3473,2734,285,27
3473,2763,285,27
2859,2453,153,27
2854,2483,138,55
3008,2454,133,57
2992,2512,149,29
3170,2455,279,27
3170,2484,138,27
3308,2484,138,27
3173,2512,138,26
3319,2512,138,26
