945,694,1549,129	
791,1111,425,155 	
1303,1111,425,155
2841,1081,425,155
3353,1081,425,155
1853,2993,425,155
2366,2993,425,155
2366,3275,425,155
1855,3275,425,155
797,1391,420,122
797,1638,420,122
1308,1391,420,122
1308,1638,420,122
1869,2366,833,129
1869,2614,833,129
1869,1110,833,129
2991,3170,314,93
2991,3431,314,93
2991,3693,314,93
2991,4218,314,93
3383,3170,314,93
3383,3431,314,93
3383,3693,314,93
3383,4218,314,93
1872,1367,170,153
2534,1367,170,153
2191,1950,170,153
2191,1366,188,168
1871,1947,188,168
2518,1943,188,168
1881,1661,235,156
2176,1661,235,156
2461,1661,235,156
2897,701,317,126
3408,701,317,126
791,2013,938,158
791,2423,938,158
791,3118,938,158
791,3398,938,158
791,3682,938,158
791,3962,938,158
2840,1490,938,158
2840,1773,938,158
2840,2055,938,158
2840,2398,938,158
2840,2680,938,158
1921,3555,95,95
1921,3774,95,95
1921,3990,95,95
1921,4208,95,95
2100,3555,95,95
2100,3774,95,95
2100,3990,95,95
2100,4208,95,95
2278,3555,95,95
2278,3774,95,95
2278,3990,95,95
2278,4208,95,95
2634,3555,95,95
2634,3774,95,95
2634,3990,95,95
2634,4208,95,95
616,4624,663,346
1427,5400,1338,381
2568,5493,517,438
677,5094,104,115
677,5274,104,115
677,5454,104,115
677,5619,104,115
870,5094,104,115
870,5274,104,115
870,5454,104,115
870,5619,104,115
1074,5094,104,115
1074,5274,104,115
1074,5454,104,115
1074,5619,104,115
1265,5094,104,115
1265,5274,104,115
1265,5454,104,115
1265,5619,104,115
1281,4882,125,127
1619,4036,168,151
3681,2476,168,160
3580,2530,101,53
1784,4926,151,177
2123,4926,151,177
2462,4926,151,177
2800,4926,151,177
1851,4424,427,136
2367,4424,427,136
2991,3953,314,93
3383,3953,314,93
2453,3555,95,95
2453,3774,95,95
2453,3990,95,95
2453,4208,95,95
0,0,4524,430
0,0,618,6349
3896,0,648,6385
0,5772,2580,577
2544,5916,1988,429
3039,4967,537,142
3410,4965,165,964
